name,hex,rgb,cmyk,description
Tyrian Purple,#66023C,"(102, 2, 60)","(0, 98, 41, 60)","['Tyrian Purple is named after a natural pigment that comes from a species of sea snail. It gets its name from the city of Tyre in Lebanon. You may sometimes hear it called royal purple or Phoenician purple. As a reddish-colored purple, this color is ideal if you want a rich, deep purple with some energy.']"
Ultra Violet,#645394,"(100, 83, 148)","(32, 44, 0, 42)","['Despite the name, Ultra Violet isn’t an overwhelming or incredibly loud purple shade. If anything, it’s one of the quieter ones on the list. As a bluish-purple, it’s a lovely shade if you want a calming color that’s still in the purple family. Its complementary color is a somewhat dull olive green, and it also looks nice near various shades of gray.']"
Studio,#7851A9,"(120, 81, 169)","(29, 52, 0, 34)","['This appropriately-named pale purple combines businesslike calm and playful creative energy. It’s essentially a version of lilac with more blue. And since working in blue spaces has been linked to greater productivity, Studio is a great color to pick if you’re designing a workspace but still want to be surrounded by purple.']"
Electric Purple,#BF00FF,"(191, 0, 255)","(25, 100, 0, 0)","['Many purple shades are relatively calm, but this highly energetic purple is ideal if your project needs a splash of fun. As you’ll see on its CMYK values, Electric Purple is devoid of any black or yellow. It’s really a mixture of cyan and magenta. This color can really add some energy when paired with bright yellow or green.']"
Eggplant,#311432,"(49, 20, 50)","(2, 60, 0, 80)","['No list of purples is complete without the deep, dark shade of the beloved eggplant. This regal shade will add an air of quiet confidence to any project you’re working on. Pairing it with a dark green is a great choice. And because it has a relatively high proportion of black, Eggplant is a great choice for printing a logo or adding text on a white background.']"
Sangria,#4D0F28,"(77, 15, 40)","(0, 81, 48, 70)","['The fruity aroma of sangria is the perfect complement to a summer night, and this deep purple is another darker shade that works well for printing text or making logos. It looks nice against darker greens and blues. Since it has almost equal amounts of magenta and black, it’s an interesting alternative to darker bluish purples.']"
Raisin,#290916,"(41, 9, 22)","(0, 78, 46, 84)","['Not many projects typically call for a dark brownish-purple. But if you’re working on one that does, Raisin should fit the bill perfectly. Its deep color would look stunning as a background to white lettering, and it also will look good next to a very deep forest green.']"
Mountbatten Pink,#997A8D,"(153, 122, 141)","(0, 20, 8, 40)","['Though this color is described as pink, it has more of a purple cast. It also has an interesting history. Mountbatten Pink was used as a camouflage color for ships in WWII by Lord Mountbatten of Britain. Though Mountbatten believed that it worked, experts generally agreed that, if anything, being painted Mountbatten Pink actually made ships more obvious.']"
Fuchsia Blue,#9C51B6,"(156, 81, 182)","(14, 55, 0, 29)","['You probably know fuchsia as being what’s essentially a bright magenta. But when you add some cyan, you get the lovely shade known as fuchsia blue. This color looks a lot like a quieter version of Electric Purple, which makes sense. Despite being over 55% magenta, this blue still has a significant amount of cyan and black.']"
Jam,#67032F,"(103, 3, 47)","(0, 97, 54, 60)","['Freshly-canned jam is something truly special, and this warm yet deep purple shade captures the essence of a jar the second you open it. Its dark red look gives it an appearance like that of cherry jam. This color makes a statement, and it’s a good choice for apparel design.']"
Ripe Plum,#410056,"(65, 0, 86)","(24, 100, 0, 66)","['The color of a true ripe plum is typically a little darker than this, but Ripe Plum is nonetheless an excellent choice for a range of products. If you favor a bold look on a home, try using it to paint the shutters and door. Ripe Plum is also a dignified color if you need tablecloths for an event.']"
Heather,#9E7BB5,"(158, 123, 181)","(13, 32, 0, 29)","['You might picture gray when you imagine heather, but this soft purple is the actual color of most heather blossoms. Heather is a hardy shrub that grows in much of Scotland, and its flowers bloom toward the end of summer. This pale purple is calm enough to use in a bedroom, and it looks especially nice in a palette with other shades of purple.']"
Magenta Purple,#A32CC4,"(163, 44, 196)","(17, 78, 0, 23)","['This pretty, medium shade is close to what most people think of when they imagine purple. The particular purple looks a bit like Electric Purple, and it’s somewhat bright in color without being pale. Thanks to its high proportion of magenta, this purple shade is somewhat high-energy and works very well as an accent color.']"
Mountain’s Majesty,#9078C0,"(144, 120, 192)","(25, 38, 0, 25)","['This soothing color seems to tread the line between periwinkle blue and periwinkle purple. It would make a great color for a peaceful reading nook or for a bedroom. If you’re going for a fancier look, this color also pairs well with a touch of gold.']"
Old Lavender,#796878,"(121, 104, 120)","(0, 14, 1, 53)","['Appropriately, this is a color that really looks like dried lavender. While it is technically still purple, its somewhat large amounts of green and black help give it its aged look. A diluted version of this color would work well for walls. And as it is, Old Lavender is a great color for accent pieces like pillows and rugs.']"
Rebecca Purple,#663399,"(102, 51, 153)","(33, 67, 0, 40)","['Rebecca Purple has a tragic backstory. It was named for Rebecca Alison Meyer, the daughter of CSS pioneer Eric Meyer. Rebecca died on her sixth birthday, and designer Jeffrey Zeldman started a campaign to name this shade after her. Purple was Rebecca’s favorite color, and this shade was officially called “Rebecca Purple” in 2014.']"
Razzmic Berry Purple,#8D4E85,"(141, 78, 133)","(0, 45, 6, 45)","['This color might sound familiar – it’s the name of one of Crayola’s colors. As a twist on the color raspberry, Razzmic Berry is a little more purple and a little less red. If you’re looking for a whimsical color that just might hearken back to your childhood, try using Razzmic Berry in your next project.']"
Wine Dregs Purple,#673147,"(103, 49, 71)","(0, 52, 31, 60)","['Unsurprisingly, this shade of purple has some major similarities to Wine. And fittingly, it’s a bit more gray, too. Wine Dregs Purple is an ideal choice if you want a shade of purple that doesn’t quite fit in anywhere. It’s too red to be mauve and too gray to be burgundy. But for that special project where you need a truly unique shade, Wine Dregs Purple just might be it.']"
Regalia Purple,#522D80,"(82, 45, 128)","(36, 65, 0, 50)","['Regalia Purple is a deep, regal purple that commands attention. It’s right at home next to gold, but it also would work very well in a palette with pastels like robin’s egg blue. Since it’s fairly heavy on both blue and black, Regalia Purple is much calmer than some other shades of deeper purple.']"
Twilight Lavender Purple,#8A496B,"(138, 73, 107)","(0, 47, 22, 46)","['This beautifully unique, dusky color is a little like that of lavender fields at the golden hour. If you like mauve but need something with a little more red, it’s an ideal choice. Twilight Lavender Purple fits in well with grays, and it also looks good alongside some shades of green or blue.']"
Traditional Purple,#8E4585,"(142, 69, 133)","(0, 51, 6, 44)","['As the name suggests, Traditional Purple is another representation of what many people think of when they picture purple. And fittingly, it is an average purple in many respects. It has roughly the same amount of red and blue, as well as about the same amount of magenta and cyan. Traditional Purple looks great in palettes of various shades of bluish purple.']"
Spanish Violet Purple,#4C2882,"(76, 40, 130)","(42, 69, 0, 49)","['Some shades of purple have a bit of a backstory, and Spanish Violet Purple is one of them. You might think that it’s named after a special variety of violet. However, it’s the exact shade called', 'violeta', '(“violet”) in a popular book of colors that’s used in many Spanish-speaking countries.']"
Imperial Purple,#602F6B,"(96, 47, 107)","(10, 56, 0, 58)","['Though Tyrian Purple is sometimes called “imperial purple,” this particular Imperial Purple is a different shade altogether. This one is deep and particularly rich in blue, much more so than Tyrian Purple. It’s especially striking when placed next to deep blue-greens.']"
Japanese Violet Purple,#5B3256,"(91, 50, 86)","(0, 45, 5, 64)",['This shade is the color officially designated as “violet” in Japan. Japan names and numbers colors with what’s known as the traditional Japanese colors group. This collection of colors has been used since the year 660 CE.']
Munsell Purple,#9F00C5,"(159, 0, 197)","(19, 100, 0, 23)","['This is another purple shade that’s part of a distinct color system. As the name suggests, Munsell Purple is part of the Munsell Color System, a group of colors put forth by professor Albert H. Munsell. This interesting system classifies colors based on hue (location on color spectrum), chroma (saturation), and value (lightness).']"
Deep Ruby Purple,#843F5B,"(132, 63, 91)","(0, 52, 31, 48)","['This is another purple that comes very close to being a red. After all, based on the RGB value, you can see that it contains much more red than blue. And interestingly enough, it doesn’t include cyan (but is over 50% magenta). Its deep, slightly dusky color makes it pair nicely with slightly brighter colors.']"
Purple Heart,#7442C8,"(116, 66, 200)","(42, 67, 0, 22)","['This shade of purple is another of Crayola’s classic colors. It’s paler than the purple that you see on Purple Heart medals. It looks a little more like saturated lavender. Though it’s fairly light thanks to having very little black, the amount of blue in Purple Heart makes it much cooler than some other purples.']"
Lilac,#B65FCF,"(182, 95, 207)","(12, 54, 0, 19)","['Though darker than the blooms on an actual lilac, this is nonetheless a very pretty shade of purple. Its relative lightness means that it can add some energy and life into just about any color palette. Lilac looks especially nice when paired with turquoise or similar colors.']"
Purple Taupe,#50404D,"(80, 64, 77)","(0, 20, 4, 69)","['The name of this color might come as a bit of a surprise. After all, most of us don’t think of the dull brown color of taupe and the vibrance of purple as working together. However, Purple Taupe is a highly effective color choice if you need a neutral color scheme yet want to incorporate elements of purple. Similar to some shades of olive green, Purple Taupe can be used as a neutral on some projects.']"
Cyber Grape Purple,#58427C,"(88, 66, 124)","(29, 47, 0, 51)","['If you’re one to notice colors with unique names, Cyber Grape is certainly a standout. This deep, calm purple is similar to the fairly dark purple typically associated with grapes. However, thanks to its large amounts of blue, Cyber Grape is similar to slate blue.']"
Kingfisher Daisy,#653780,"(101, 55, 128)","(21, 57, 0, 50)","['This color is named after an actual plant that’s commonly called the kingfisher daisy, Felicia, or blue daisy. These daisies typically aren’t quite as purple as this particular color. But nonetheless, this quiet purple works well in a multi-purple palette or up against some cool blues.']"
Seance,#61346B,"(97, 52, 107)","(9, 51, 0, 58)","['Otherworldly and ominous, Seance is a perfectly named purple shade. Its large proportions of blue and black prevent it from becoming overly warm. Seance is still fairly close to what most of us see when we picture “purple,” so it’s a familiar choice for a lot of different applications.']"
Tacao,#6F3096,"(111, 48, 150)","(26, 68, 0, 41)","['Tacao is a classic-looking purple that leans more blue than it does red. But its slightly cool edge makes it great for a variety of projects. Its fresh look makes it an ideal choice for spring outerwear and athletic wear. Tacao will pair well with most bright colors and most neutrals, making it incredibly versatile.']"
Murasaki Purple,#4F284B,"(79, 40, 75)","(0, 49, 5, 69)","['Murasaki simply means “purple” in Japanese. The word is used to describe a range of purple vegetables. There’s a type of pepper known as Murasaki purple, and there are also Murasaki sweet potatoes. This color is very close to the color of Murasaki vegetables. It’s very deep and dark, making it ideal for creating dramatic accents on lighter backdrops.']"
Blackish Purple,#291E29,"(41, 30, 41)","(0, 27, 0, 84)","['This is one of the darkest purples you can possibly find. Blackish Purple may not be the color for every occasion. But since its proximity to black makes it essentially a neutral, it’s a good choice when you need a very dark, black-like neutral for a project.']"
Lovely Purple,#7F38EC,"(127, 56, 236)","(46, 76, 0, 7)","['True to its name, this color is a lovely shade of purple. It comes very close to being a shade of blue. As you can see from its RGB values, it’s made with a very high proportion of blue. It’s also one of the brighter shades on the list. Lovely Purple is dark enough to be used as a backdrop color, but it’s also light enough for use in the foreground of any project.']"
Vulgar Purple (Grape Jelly),#3E2F84,"(62, 47, 132)","(53, 64, 0, 48)","['“Vulgar” technically just means “common,” but it has a generally negative connotation. So this color is often referred to by the more pleasant name of “Grape Jelly.” That’s a fitting name – Grape Jelly is about as dark as its namesake, although it may have a little extra blue.']"
University of Central Arkansas Purple,#4F2D7F,"(79, 45, 127)","(38, 65, 0, 50)","['Just about every college and university selects a specific hex and CMYK value for each color used in its logo. That helps ensure that college materials look exactly the same whether they’re used on signage, printed on shirts, or incorporated into brochures. This deep bluish purple helps make up the shield logo of the University of Central Arkansas.']"
FedEx Purple,#660099,"(102, 0, 153)","(33, 100, 0, 40)",['Universities aren’t the only institutions that need to ensure color consistency across materials. The same is true of large companies. This particular shade of purple may be familiar. You’ve probably seen it on the sides of FedEx vehicles. It’s the color that makes up the first part of the company logo.']
Carolina Plum,#9B84A1,"(155, 132, 161)","(4, 18, 0, 37)","['Some hex values are claimed by paint companies, and Carolina Plum is one of the colors that Benjamin Moore offers. This relatively pale, dusty-looking purple is kind of like a grayish lavender. It would make a good wall color if you prefer a room to be slightly dark in color without becoming suffocating.']"
Kalamata,#705160,"(112, 81, 96)","(0, 28, 14, 56)","['Kalamata is another of Benjamin Moore’s paint colors. This one is appropriately named after the kalamata olive. The olives may be slightly more brown than this color, but Kalamata is an excellent choice for a dark background color or for use as text over a lighter background.']"
Black Currant,#540E32,"(84, 14, 50)","(0, 83, 40, 67)","['Dark lipsticks never seem to completely go out of style, and most of them are shades of purple. This lovely color is one of those used by L.A. Girl. It stands out because, despite being a dark purple, Black Currant still has a high proportion of red. You can see this in its RGB values – it still has some blue, but it has far more red.']"
Purple 4,#551A8B,"(85, 26, 139)","(39, 81, 0, 45)",['Not all shades of purple come with interesting names. Purple 4 is a beautiful bluish purple that isn’t excessively dark. It’s a great choice if you’re working on a project that needs an energetic shade that isn’t quite as loud as Electric Purple and similar colors.']
Strong Purple,#875692,"(135, 86, 146)","(8, 41, 0, 43)","['Despite the name, Strong Purple isn’t quite what you’d think of when you imagine a strong version of this versatile color. That isn’t a problem, though. As evidenced by its RGB values, Strong Purple is a medium shade with approximately equal amounts of red and blue.']"
Vivid Reddish Purple,#870074,"(135, 0, 116)","(0, 100, 14, 47)","['Purple is a cool color, but shades that contain more red have a look that’s a little warmer. Bluish versions tend to appear more springlike, while reddish versions like this one have a more summery feel. Vivid Reddish Purple works well against a neutral palette where it will stand out, and it also looks nice alongside similarly bright colors.']"
Medium Purple 3,#8968CD,"(137, 104, 205)","(33, 49, 0, 20)","['Though it’s another color with a less-than-exciting name, Medium Purple 3 is an especially pretty shade. It looks a little like a darker and more saturated periwinkle. This color looks especially nice next to ivory and cream. The fact that it has more blue than red makes it a demure, cool shade of purple.']"
Cardinal,#8A244E,"(138, 36, 78)","(0, 74, 43, 46)","['Cardinal is a confusingly named purple. After all, cardinals tend to be a bright scarlet red in color. This shade is the name of a paint made by Resene, and it’s most accurately described as a deep, red-heavy purple. It’s close to burgundy in color, and it looks especially nice next to other jewel tones.']"
Embassy Purple,#3B343C,"(59, 52, 60)","(2, 13, 0, 76)","['This businesslike, near-black purple is a shade made by Ralph Lauren. It’s roughly the color of black cherries, albeit with a little less red. Embassy Purple is a great alternative to black when printing materials, and it’s perfect for adding just a hint of purple to neutral color palettes.']"
Lakers Purple,#552582,"(85, 37, 130)","(35, 72, 0, 49)","['If you’re a sports fan, you may recognize this purple on sight. It’s the exact color used for the Lakers logo. Not surprisingly, Lakers Purple looks good alongside yellow and other bright colors.']"
Amaranth Purple,#AB274F,"(171, 39, 79)","(0, 77, 54, 33)","['This distinctive color is named after the purple amaranth, a species of pigweed. It’s sometimes called livid amaranth. This plant features unusual “flower spikes” that offer a welcome contrast to typical blooms. Florists sometimes use cuttings of purple amaranth to add variety to flower bouquets, and this plant can also be grown in gardens.']"
Purple Navy,#4E5180,"(78, 81, 128)","(39, 37, 0, 50)","['Some of the most interesting shades of purple are those that tread the line between purple and blue (or purple and red). And when you look at Purple Navy, it can be hard to tell whether it’s a shade of blue or a shade of purple. This deep color is ideal if you like navy blue but want to choose something a little different.']"
Insolent Purple,#682E3C,"(104, 46, 60)","(0, 56, 42, 59)","['This amusingly named color is another shade of purple used in lipstick. More specifically, Insolent Purple is one of Estee Lauder’s signature lipstick colors. Because it’s roughly between a pink and a deep purple, it’s ideal for those who want a dark lip that isn’t too dark.']"
Smyrna Purple,#A2627A,"(162, 98, 122)","(0, 40, 25, 36)","['Smyrna Purple is a soft, lovely shade that borders on pink. It also contains a fair amount of black (as seen in its CMYK values), so it isn’t particularly pale. Smyrna Purple would work well as a wall color if you’re looking for something bold. It also is a great choice for clothing, as it’s cheerful without being overly bright.']"
East Carolina University Purple,#592A8A,"(89, 42, 138)","(36, 70, 0, 46)","['Interestingly enough, colleges and universities using purple in their logos tend to settle on similar shades of dark bluish purple. ECU Purple is very close to KSU Purple. It combines the authority of blue with the regal nature of purple, making it an excellent option for a university to choose.']"
Aesthetic Purple,#502380,"(80, 35, 128)","(38, 73, 0, 50)","['As the name suggests, Aesthetic Purple is very pleasing to the eye. It’s a deep bluish color that possesses an elegance that few purple shades do. Aesthetic Purple really pops when put up against bright greens and yellows, but it also pairs nicely with silver and gold.']"
Kikyo-iru,#5D3F6A,"(93, 63, 106)","(12, 41, 0, 58)","['This unique shade of purple is fairly close to what most of us likely picture when we imagine purple. It’s neither too red nor too blue. Its complementary color is a very slightly brown shade of green. In this combination, Kikyo-iru offers a picture of understated elegance.']"
Metallic Purple,#520E7D,"(82, 14, 125)","(34, 89, 0, 51)","['Metallic Purple is somewhat confusingly named. After all, it’s hard for a flat color to look metallic. But this shade is just deep enough to look nice with a touch of sparkle. This classic purple works especially well with yellow, but it also pairs nicely with various shades of blue.']"
Hot Purple,#A420D0,"(164, 32, 208)","(21, 85, 0, 18)","['This neon-like shade is very similar to Electric Purple. It’s perfect to use wherever you need a pop of color. However, Hot Purple also works nicely in summery color palettes where you need several bright, attention-grabbing colors.']"
Faded Purple,#795F80,"(121, 95, 128)","(5, 26, 0, 50)","['This color is aptly named, and it’s ideal if you’re looking for a grayish shade of purple that isn’t overly gray. This color is close enough to a neutral that it works well for clothing. It also will look nice alongside various shades of gray.']"
Mythical Purple,#53277E,"(83, 39, 126)","(34, 69, 0, 51)","['This pretty, soothing purple is somewhat similar to Lakers Purple. It’s versatile, too. Mythical Purple is dark enough to use for lettering but light enough to serve as a backdrop. It also looks nice paired with Sap Green, its complementary color.']"
Mauveine,#8D029B,"(141, 2, 155)","(9, 99, 0, 39)",['Mauveine is a color with a very interesting history. It was one of the first ever synthetic dyes. And it wasn’t even deliberately developed. A scientist discovered it in 1856 while working on finding a cure for malaria.']
Blue Lilac,#7B679A,"(123, 103, 154)","(20, 33, 0, 40)","['Lilac and Lavender, two very popular shades of purple, both lend themselves to being mixed with blue. As you can see from its RGB values, Blue Lilac has a bit more blue than red, but it’s still an unmistakable shade of purple. It’s a good choice for painting an office if you like the color purple. Blue has been shown to stimulate creativity and productivity, and Blue Lilac manages to be both calming and energizing.']"
Dark Byzantium,#5D3954,"(93, 57, 84)","(0, 39, 10, 64)","['Named for the ancient Greek city of Byzantium (now Constantinople), Byzantium and Dark Byzantium are reminiscent of splendor. If you prefer a darker, more demure version of the classic Byzantium, you may find Dark Byzantium to be to your liking.']"
Luxury Purple,#743089,"(116, 48, 137)","(15, 65, 0, 46)","['Purple has long been considered a luxuriant color, and Luxury Purple really takes that association to a new level. It looks especially nice when used in jewelry.']"
Aztech Purple,#893BFF,"(137, 59, 255)","(46, 77, 0, 0)","['This shade of purple is very close to being a bright blue. As you can see from the RGB values, it has far more blue than red. And as you can see in the CMYK values, it doesn’t contain any black. Aztech Purple has an almost-neon quality, making it one of the most electric shades of purple out there.']"
Baltimore Ravens Purple,#280353,"(40, 3, 83)","(52, 96, 0, 67)","['The Baltimore Ravens have a distinctive dark black-and-purple logo, and this shade is the team’s signature deep purple. As you can tell by the logo, this color pairs well with black and other dark shades.']"
Deep Magenta,#CC00CC,"(204, 0, 204)","(0, 100, 0, 20)","['Not to be confused with Dark Magenta, Deep Magenta is a bright purple that, unsurprisingly, contains a lot of magenta. The color magenta was named after the Italian Battle of Magenta, as the color was developed shortly before the battle itself.']"
Deep Purple,#524F81,"(82, 79, 129)","(36, 39, 0, 49)","['This distinctive, almost-blue shade is sometimes called Pageant. It’s a deep color that leans toward the blue side, but it’s warmer and lighter than navy blue. This color looks especially nice alongside other jewel tones.']"
Rustic Purple,#593163,"(89, 49, 99)","(10, 51, 0, 61)","['Purple probably isn’t the color you think of when you hear the word “rustic.” However, the name suits this shade. It has a slightly dark, slightly weathered appearance that looks great when paired with heather gray.']"
Sunset Purple,#A865B5,"(168, 101, 181)","(7, 44, 0, 29)","['Sunsets may primarily be orange and yellow, but the sky at dusk often turns a light purple. Sunset Purple does well at capturing this shade. It’s a great choice if you want something that’s just a little bolder than Lilac or Lavender.']"
Artist’s Purple,#C71585,"(199, 21, 133)","(0, 89, 33, 22)","['Artist’s Purple is another shade that is close to magenta. This bright, bold color is essentially a darker version of magenta, and it’s a great choice if your project requires a louder color than most shades of purple.']"
Dull Purple,#9861A5,"(152, 97, 165)","(8, 41, 0, 35)","['Despite its unflattering name, Dull Purple is actually a very nice color. It looks a little like Lilac, but it’s a little deeper and darker. If your project needs a solid medium purple, this is a good color to pick.']"
Traffic Purple,#913073,"(145, 48, 115)","(0, 67, 21, 43)","['Traffic Purple is a reddish medium purple that’s warmer than many purple shades. It’s part of the European RAL color matching system. The RAL system is popular in a handful of European countries, including Italy, France, and Germany.']"
Matte Purple,#392A48,"(57, 42, 72)","(21, 42, 0, 72)","['With most colors displayed on screens, it’s impossible to differentiate matte and gloss. But it’s easy to see why this inky shade of purple would look good as a matte color. It’s a good choice if you’re looking for a color that is close to black but still has some definite elements of color.']"
Purple Violet,#47243C,"(71, 36, 60)","(0, 49, 15, 72)","['Purple Violet is another color that’s part of the RAL system. It’s someone unique in that it looks slightly brown, much like Oxblood and similar shades. Its brown undertones mean that it looks good with other neutrals. It also looks great with its complementary color, Cal Poly Pomona Green.']"
Purple CMYK,#6A317F,"(106, 49, 127)","(17, 61, 0, 50)","['This color is the standard for purple in the CMYK printing system. Purple CMYK is a classic, slightly blue-tinted purple that looks especially good paired with blues and greens.']"
Ocean Purple,#6E2D91,"(110, 45, 145)","(24, 69, 0, 43)","['Though the ocean isn’t necessarily purple, it’s easy to see how this color got its name. It has a similar depth to the blue-green color of most oceans, and it’s watery and calm.']"
Shiny Purple,#B941FF,"(185, 65, 255)","(27, 75, 0, 0)","['You can’t really make a color look shiny on a screen, but Shiny Purple is almost neon. Much like a gleaming color would, Shiny Purple easily catches the eye.']"
Autumn Purple,#834468,"(131, 68, 104)","(0, 48, 21, 49)","['If you need a shade of purple to complete an autumnal color palette, Autumn Purple is the color to pick. This demure reddish-purple is right at home alongside oranges, reds, and yellows.']"
Thistle,#D8BFD8,"(216, 191, 216)","(0, 12, 0, 15)",[]
Plum,#DDA0DD,"(221, 160, 221)","(0, 28, 0, 13)","['A pale, purple color made using light reddish-purple. Much paler than the color of the plum fruit, the color officially recognized as plum is also brightly vivid.']"
Orchid,#DA70D6,"(218, 112, 214)","(0, 49, 2, 15)","['This rich, bright purple is meant to reflect the naturally vivid color of the orchid flower.']"
Fuchsia,#FF00FF,"(255, 0, 255)","(0, 100, 0, 0)","['Leaning more towards pink, fuchsia incorporates a larger amount of red than other shades of purple to be brightly vibrant.']"
Pale Purple,#FAE6FA,"(250, 230, 250)","(0, 8, 0, 2)","['A pale, purple-pink color that has the appearance of white with a slight purple tint.']"
Mauve,#E0B0FF,"(224, 176, 255)","(12, 31, 0, 0)","['A very light, brilliant purple meant to reflect the natural color of the muted mallow wildflower.']"
Heliotrope,#DF73FF,"(223, 115, 255)","(13, 55, 0, 0)",['A pink-purple tone that reflects that of the naturally occurring heliotrope flower.']
Purple Pizzazz,#FE4EDA,"(254, 78, 218)","(0, 69, 14, 0)","['As the name would suggest, this color is extremely bright and vibrant. First appearing as a Crayola crayon color in 1900, this color has many of the traits necessary to be classified within the spectrum of magenta and purple.']"
Liserian Purple,#DE6FA1,"(222, 111, 161)","(0, 50, 27, 13)",['A bright purple with enough red to appear almost pink. The first reference to this color is from 1912.']
African Violet,#B284BE,"(178, 132, 190)","(6, 31, 0, 25)",['A light Pantone purple based on the unique color of African violets.']
Fairy Tale,#F2C1D1,"(242, 193, 209)","(0, 20, 14, 5)","['This soft pink has enough lavender hues to pass for a purple shade. Making its display as a Pantone color, it is named after the color most seen attributed to typical fairy garb.']"
French Mauve,#D473D4,"(212, 115, 212)","(0, 46, 0, 17)","['While this vivid purple may also be known as deep mauve, it is classified purely as “mauve” in French and it is named after the mallow flower.']"
Periwinkle Purple,#BE93E4,"(190, 147, 228)","(17, 36, 0, 11)","['You might imagine a powder-blue shade when you think of periwinkle. But the periwinkle flowers the color is named for can actually vary considerably in color. Some are blue, some are white, and some are purple, and Periwinkle Purple accurately captures the color of the purple variant. This pastel-like color is pale and dreamy, and it would make a great wall color.']"
Good Tax,#C9A0FF,"(201, 160, 255)","(21, 37, 0, 0)","['As you’ve seen, there’s no shortage of purple shades with odd names, and Good Tax is certainly one. This is a pale, pastel-like purple, and it gives off a relaxed vibe thanks to a large amount of cyan. Remarkably, it has no yellow or black in it. This explains its cooler shade and pale appearance.']"
Lavender Blush,#FFF0F5,"(255, 240, 245)","(0, 6, 4, 0)","['Sometimes, you just need a barely-there purple for a project, and Lavender Blush is a prime example. At first, it looks more like a pale pink. But if you take a look at the RGB values, you’ll see that it has approximately equal parts red and blue. The very pale nature of Lavender Blush makes it a perfect understated wall color or color for stationery.']"
Early Bird,#CEA2FD,"(206, 162, 253)","(19, 36, 0, 1)","['Early Bird is another of the soothing, periwinkle-like purples. This one is a little more saturated than most, and it also has a bit more blue. Its name and the shade itself suggest the pale purplish blue you often see in the morning sky.']"
Lavender Gray,#B6B5D8,"(182, 181, 216)","(16, 16, 0, 15)","['Purple-gray colors aren’t typically as popular as blue-gray ones. But if you need just a hint of purple in a backdrop or wall color, you might want to consider the misty, peaceful lavender gray. This color is heavier on the blue than on the red, but it makes for a cool, relaxing color to be around.']"
Hopbush,#D05FAD,"(208, 95, 173)","(0, 54, 17, 18)","['This magenta-heavy purple almost crosses the line into pink. Regardless of whether you consider it to be pink or purple, Hopbush is named for the fruit of a bush of the same name. Hopbush fruit is pinkish-purple in color and appears in the summer. It contrasts beautifully with the leaves of the hopbush, which are typically a bronze-green color.']"
Brilliant Purple,#D399E6,"(211, 153, 230)","(8, 33, 0, 10)","['You might expect a color called “brilliant purple” to be one of the deeper, royal-looking shades on the list. However, this one has its own brilliance. It’s light in color and similar to amethyst, and it’s easy to imagine a sparkle around the edges.']"
Pale Purple,#AA98A9,"(170, 152, 169)","(0, 11, 1, 33)","['This pretty color is similar to lilac, and it’s a versatile choice if you want a light purple that isn’t quite a pastel. Pale purple would do well in a palette with other pale versions of cool colors, and it also looks good with neutrals like brown or gray.']"
Middle Purple,#D982B5,"(217, 130, 181)","(0, 40, 17, 15)","['The name of this color might make you think that it’s close in appearance to Middle Purple 3. However, it’s almost pink. Middle Purple is the name of a Crayola purple, and it’s best described as a red-heavy, medium-light purple. It has a dusky quality about it that makes it look very nice alongside tan and similar neutrals.']"
Little Princess,#E9DCE5,"(233, 220, 229)","(0, 6, 2, 9)","['This enchantingly named color is made by Porter Paints. It’s a very pale cream color with just a touch of purple, making it a pleasant and classic choice for a wall color. And because it’s so close to ivory or cream, Little Princess is a viable alternative to various shades of off-white when it comes to paper and stationery.']"
Languid Lavender,#D6CADD,"(214, 202, 221)","(3, 9, 0, 13)","['The name Languid Lavender really suits this color. It’s wistful and airy, making it the perfect springlike wall color. Languid Lavender is a bit like a paler version of amethyst, and it also can serve as a useful and versatile background color.']"
Watermelon,#FC6C85,"(252, 108, 133)","(0, 57, 47, 1)","['Watermelon is a warm, medium to dark pink that strongly resembles the color of the inside of a watermelon. This color is also sometimes classified as a red.']"
Flamingo,#FC8EAC,"(252, 142, 172)","(0, 44, 32, 1)",['Flamingo is a light to medium pink that is a little cooler in tone than salmon. This shade is somewhat reminiscent of a flamingo’s feathers.']
Coral,#F88379,"(248, 131, 121)","(0, 47, 51, 3)","['Coral is a warm, medium pink that resembles the shade of some sea corals. The term is thought to have first been used for a shade of pink in the 1500’s.']"
Dark pink,#E75480,"(231, 84, 128)","(0, 64, 45, 9)","['Dark pink is a medium to dark shade of pink. With warm overtones and cool undertones, dark pink can compliment other colors in both fields.']"
Bright pink,#FF007F,"(255, 0, 127)","(0, 100, 50, 0)","['Bright pink is a vibrant, rich pink color that is a little lighter and cooler than neon pink and warmer and brighter than dark pink.']"
Rouge,#A94064,"(169, 64, 100)","(0, 62, 41, 34)","['Rouge is a dark, dusky purplish pink hue that can also be classified as a red or purple. It can be compared to a very dark shade of blush.']"
Neon pink,#FF6EC7,"(255, 110, 199)","(0, 57, 22, 0)","['Neon pink is a dark, reddish shade of pink that somewhat resembles the dusky pinks often seen at the end of a sunset.']"
Blush,#DE5D83,"(222, 93, 131)","(0, 58, 41, 13)","['Blush is a medium, dusty pink reminiscent of a very common shade of pressed powder makeup known by the same name. It is cooler than dark pink and paler than rouge.']"
Fuchsia,#C154C1,"(193, 84, 193)","(0, 56, 0, 24)",['Fuchsia is a medium purplish pink with warm undertones. The color is named after the fuchsia flower.']
